Tweets,id,len,date,time,source,likes,retweets
@Ankush1730Gupta We request you to file a grievance on the #Mumtrafficapp for a swift resolution.,1578732938468155394,97,2022-10-08,13:03:58,Twitter Web App,0,0
@jaagopyare We are sharing your concern with Dadar Traffic Division for necessary stringent action.,1578732623866007552,99,2022-10-08,13:02:43,Twitter Web App,0,0
@hunterwala We are sharing your concern with Bandra Traffic Division for necessary stringent action.,1578731996725260289,100,2022-10-08,13:00:14,Twitter Web App,0,0
@BankerNot4Sale We have escalated your request with Jogeshwari Traffic Division for necessary action.,1578725652748197888,101,2022-10-08,12:35:01,Twitter Web App,0,0
@Abhishekpol786 We request you to file a grievance on the #Mumtrafficapp for a swift resolution.,1578725053986140161,96,2022-10-08,12:32:38,Twitter Web App,1,0
@mayanksinghal05 We request you to file a grievance on the #Mumtrafficapp for a swift resolution.,1578724645205086209,97,2022-10-08,12:31:01,Twitter Web App,0,0
@broutray We request you to file a grievance on the #Mumtrafficapp for a swift resolution.,1578724587185262594,90,2022-10-08,12:30:47,Twitter Web App,0,0
@NageshKalasgau1 पुढील कारवाईसाठी आम्ही डी.एन.नगर वाहतूक विभागाला कळवले आहे,1578720750957391872,75,2022-10-08,12:15:32,Twitter Web App,0,0
@EyeKaDoctor We have escalated your request with Santacruz Traffic Division for necessary action.,1578720724898172929,97,2022-10-08,12:15:26,Twitter Web App,0,0
@AMOLANDHALE123 त्वरित निराकरणासाठी #Mumtrafficapp वर तक्रार दाखल करण्याची आम्ही तुम्हाला विनंती करतो.,1578720166476935168,102,2022-10-08,12:13:13,Twitter Web App,0,0
@VK_Andheri We have escalated your request with D.N.nagar Traffic Division for necessary action.,1578720087615602688,96,2022-10-08,12:12:54,Twitter Web App,0,0
@Vengsarcasm We have escalated your request with Dahisar Traffic Division for necessary action.,1578719243977510914,95,2022-10-08,12:09:33,Twitter Web App,0,0
@aksku69 We request you that if the address you provided is not sufficient send us the full address,1578718720436113414,99,2022-10-08,12:07:28,Twitter Web App,0,0
@4miGala We have escalated your request with Malad Traffic Division for necessary action.,1578717806790868992,89,2022-10-08,12:03:50,Twitter Web App,0,0
@4miGala Action taken on above mentioned vehicle 06 vehicles u/s 122/177 of M.V. Act.,1578712327633108992,85,2022-10-08,11:42:04,Twitter Web App,0,0
@yogesh431 We have forwarded your concern to Vikhroli Traffic Division for necessary action.,1578710904157638656,92,2022-10-08,11:36:25,Twitter Web App,0,0
@S90489910 We are sharing your concern with Jogeshwari Traffic Division for necessary stringent action.,1578708702865272832,103,2022-10-08,11:27:40,Twitter Web App,0,0
@MumbaiManic We have intimated your concern to Santacruz traffic branch for necessary action.,1578705747747434496,93,2022-10-08,11:15:55,Twitter Web App,0,0
@TheAbhimannuy We are sharing your concern with Powai Traffic Division for necessary stringent action.,1578704484678918145,102,2022-10-08,11:10:54,Twitter Web App,0,0
@knockinghuman We are sharing your concern with Pydhunie Traffic Division for necessary stringent action.,1578703229252403206,105,2022-10-08,11:05:55,Twitter Web App,0,0
@ShiningKurla Please provide the exact location for necessary action,1578700646672662531,68,2022-10-08,10:55:39,Twitter Web App,0,0
@HaritTrivedi7 We have intimated your concern to Pydhunie traffic branch for necessary action.,1578700152009023488,94,2022-10-08,10:53:41,Twitter Web App,0,0
@rmk1205 We have intimated your concern to D.B.Marg traffic branch for necessary action.,1578699518522327040,88,2022-10-08,10:51:10,Twitter Web App,0,0
@AK85257204 पुढील कारवाईसाठी आम्ही मानखुर्द वाहतूक विभागाला कळवले आहे,1578699188162162688,69,2022-10-08,10:49:51,Twitter Web App,0,0
@HaritTrivedi7 Mumbai traffic police helpline no 8454999999,1578698719041818625,59,2022-10-08,10:48:00,Twitter Web App,0,0
@JakhaliaRaunak We have forwarded your concern to Malad Traffic Division for necessary action.,1578696915545632768,94,2022-10-08,10:40:50,Twitter Web App,0,0
@pjavkar पुढील कारवाईसाठी आम्ही साकीनाका वाहतूक विभागाला कळवले आहे,1578696273276063744,66,2022-10-08,10:38:16,Twitter Web App,1,0
@aapkaHassanali We have escalated your request with Pydhunie Traffic Division for necessary action.,1578695427570171905,99,2022-10-08,10:34:55,Twitter Web App,2,0
@mangal256 We are sharing your concern with Malad Traffic Division for necessary stringent action.,1578695067279425538,98,2022-10-08,10:33:29,Twitter Web App,2,0
@Deepakt70043984 We are sharing your concern with Wadala Traffic Division for necessary stringent action.,1578694117596758016,105,2022-10-08,10:29:43,Twitter Web App,0,0
@dhruvakapadia We have escalated your request with Santacruz Traffic Division for necessary action.,1578693539722334208,99,2022-10-08,10:27:25,Twitter Web App,1,0
@prashantankush पुढील कारवाईसाठी आम्ही घाटकोपर वाहतूक विभागाला कळवले आहे,1578692744561987584,72,2022-10-08,10:24:15,Twitter Web App,0,0
@VinodDu44374766 We have requested @ThaneCityPolice traffic division to look into this as they can help the best in their jurisdiction,1578692339316719616,134,2022-10-08,10:22:39,Twitter Web App,0,0
@amarwaingankar पुढील कारवाईसाठी आम्ही भोईवाड वाहतूक विभागाला कळवले आहे,1578691438128529408,71,2022-10-08,10:19:04,Twitter Web App,5,0
@sakgr555 We have escalated your request with D.N.Nagar Traffic Division for necessary action.,1578690863370506240,94,2022-10-08,10:16:47,Twitter Web App,0,0
@VaruMehul We have requested @ThaneCityPolice traffic division to look into this as they can help the best in their jurisdiction,1578690473828712448,128,2022-10-08,10:15:14,Twitter Web App,1,0
@ImmanuelRajanN1 We have escalated your request with Chembur Traffic Division for necessary action.,1578689000927547392,99,2022-10-08,10:09:23,Twitter Web App,0,0
"@SashiShankar @RoadsOfMumbai We have escalated your request with Matunga
 Traffic Division for necessary action.",1578687607638495235,112,2022-10-08,10:03:50,Twitter Web App,0,0
@kirtipalsingh01 We have informed concern  Vakola Traffic Division of the necessary action.,1578686106048299009,91,2022-10-08,09:57:52,Twitter Web App,1,0
@ramnarayang We are sharing your concern with _Chembur Traffic Division for necessary stringent action.,1578683248108253185,103,2022-10-08,09:46:31,Twitter Web App,1,0
@MeenaSippy3 We have forwarded your concern to Oshiwara Traffic Division for necessary action.,1578678405058682880,94,2022-10-08,09:27:16,Twitter Web App,0,0
@vinita_israni We have forwarded your concern to Kurla Traffic Division for necessary action.,1578676973593055232,93,2022-10-08,09:21:35,Twitter Web App,0,0
@NEETINBHOWAD आम्ही आपली तक्रार डी एन नगर वाहतूक विभागाला कळविली आहे.,1578674696689979394,69,2022-10-08,09:12:32,Twitter Web App,1,0
@bhumiirparwani We have forwarded your concern to Goregaon Traffic Division for necessary action.,1578672648439336960,97,2022-10-08,09:04:24,Twitter Web App,0,0
@uday_kuruwa We have intimated your concern to Nagpada traffic branch for necessary action.,1578668563426349056,91,2022-10-08,08:48:10,Twitter Web App,1,0
@ajay9977 We have forwarded your concern to Samata Nagar Traffic Division for necessary action.,1578666832940388352,95,2022-10-08,08:41:17,Twitter Web App,0,0
@ajay9977 We request you that if the address you provided is not sufficient send us the full address,1578662539864715264,100,2022-10-08,08:24:14,Twitter Web App,0,0
@afzalamirshaikh We have intimated your concern to Dindoshi traffic branch for necessary action.,1578659455423901696,96,2022-10-08,08:11:58,Twitter Web App,1,0
@brilliansk We have escalated your request with Ghatkopar Traffic Division for necessary action.,1578658379207434240,96,2022-10-08,08:07:42,Twitter Web App,0,0
@TVALMGuild We have escalated your request with Samtanagar Traffic Division for necessary action.,1578657202315087872,97,2022-10-08,08:03:01,Twitter Web App,5,1
@superselector5 We are sharing your concern with Samtanagar Traffic Division for necessary stringent action.,1578656495281274880,108,2022-10-08,08:00:13,Twitter Web App,0,0
@Optimus3m We request you that if the address you provided is not sufficient send us the full address,1578656315412713474,101,2022-10-08,07:59:30,Twitter Web App,0,0
@superselector5 Dindoshi Traffic Division has been informed for prompt action.,1578655177749721090,78,2022-10-08,07:54:59,Twitter Web App,0,0
@prabirchetia We have forwarded your concern to Samata Nagar Traffic Division for necessary action.,1578648773987028992,99,2022-10-08,07:29:32,Twitter Web App,2,0
@Da1GowaliaTank We are sharing your concern with Tardeo Traffic Division for necessary stringent action.,1578648073487908865,104,2022-10-08,07:26:45,Twitter Web App,0,0
@naveedbarudgar We have intimated your concern to Vakola traffic branch for necessary action.,1578647554405044224,93,2022-10-08,07:24:41,Twitter Web App,1,0
@Ravisankar49 We have forwarded your concern to Samata Nagar Traffic Division for necessary action.,1578646637169504258,99,2022-10-08,07:21:02,Twitter Web App,0,0
@naveedbarudgar Please provide the exact location for necessary action,1578645262926753792,70,2022-10-08,07:15:35,Twitter Web App,0,0
@ZRSoldier1 We have forwarded your concern to Oshiwara Traffic Division for necessary action.,1578645004175970304,93,2022-10-08,07:14:33,Twitter Web App,0,0
@superselector5 We have forwarded your concern to Sahar Traffic Division for necessary action.,1578643103459987458,94,2022-10-08,07:07:00,Twitter Web App,0,0
@superselector5 We are sharing your concern with Jogeshwari Traffic Division for necessary stringent action.,1578641829926678529,108,2022-10-08,07:01:56,Twitter Web App,0,0
@anandrajgor We have forwarded your concern to Dahisar Traffic Division for necessary action.,1578637942872240128,93,2022-10-08,06:46:29,Twitter Web App,0,0
@aapaldadar We have escalated your request with Dadar Traffic Division for necessary action.,1578637206025285632,92,2022-10-08,06:43:34,Twitter Web App,2,2
@superselector5 We have forwarded your concern to Malad Traffic Division for necessary action.,1578630243581329408,94,2022-10-08,06:15:54,Twitter Web App,0,0
@Rajkuma49482034 We have escalated your request with Samtanagar Traffic Division for necessary action.,1578626967053938689,102,2022-10-08,06:02:53,Twitter Web App,0,1
@jambi76 We have escalated your request with Samtanagar Traffic Division for necessary action.,1578626572206342146,94,2022-10-08,06:01:18,Twitter Web App,0,0
@manishladkani We have intimated your concern to _Goregaon traffic branch for necessary action.,1578618262589702144,95,2022-10-08,05:28:17,Twitter Web App,0,0
@BHAGWANKAMBLE20 We have escalated your request with Bandra  Traffic Division for necessary action.,1578616747686785025,99,2022-10-08,05:22:16,Twitter Web App,0,0
@AnilMakhija4 We have escalated your request with  Chembur Traffic Division for necessary action.,1578615702680113152,97,2022-10-08,05:18:07,Twitter Web App,0,0
@Shreyayayayaaa We have intimated your concern to Mankhurd traffic branch for necessary action.,1578611649782894592,95,2022-10-08,05:02:01,Twitter Web App,0,0
@bjymm217 We have escalated your request with D.B.Marg Traffic Division for necessary action.,1578610482923307010,93,2022-10-08,04:57:22,Twitter Web App,0,0
@arvindpnishar We have escalated your request with TardeoTraffic Division for necessary action.,1578608968221753344,95,2022-10-08,04:51:21,Twitter Web App,0,0
@MEHULS13515704 Chembur Traffic Division has been informed for prompt action.,1578598505631092736,77,2022-10-08,04:09:47,Twitter Web App,3,0
@Dharmen94685958 We request you to file a grievance on the #Mumtrafficapp for a swift resolution.,1578593226730397696,97,2022-10-08,03:48:48,Twitter Web App,0,0
@NikhilCDesai1 Matunga Traffic Division has been informed for prompt action.,1578591244116426755,76,2022-10-08,03:40:56,Twitter Web App,0,0
@Breath_Marathi आम्ही आपली तक्रार संबंधित वाहतूक विभागाला कळविली आहे.,1578590326973157376,69,2022-10-08,03:37:17,Twitter Web App,0,0
@ImmanuelRajanN1 Chembur Traffic Division has been informed for prompt action.,1578582474602745856,78,2022-10-08,03:06:05,Twitter Web App,0,0
@BankiMistry Sahar Traffic Division has been informed for prompt action.,1578577449981730817,72,2022-10-08,02:46:07,Twitter Web App,2,1
@BankiMistry We request you that if the address you provided is not sufficient send us the full address,1578574685734068225,103,2022-10-08,02:35:08,Twitter Web App,4,1
@ambika_poojari We are sharing your concern with Kandivali Traffic Division for necessary stringent action.,1578560848968417282,107,2022-10-08,01:40:09,Twitter Web App,0,0
"सक्कर पंचायत येथे ०.१ ते १.५ फुटापर्यंत पाणी साचल्याने वाहतुकीची गती मंदावली आहे.
Due to 0.1 to 1.5 feet of water.… https://t.co/xu09BMEXbn",1578559518367444993,139,2022-10-08,01:34:52,Twitter Web App,3,1
डायमंड गार्डन (चुनाभट्टी )दक्षिण वाहिनी येथे तेलाचा टँकर बिघडला आहे .… https://t.co/R9CbXSRUrv,1578558239905845250,94,2022-10-08,01:29:47,Twitter Web App,10,3
"सिरी रोड पेट्रोल पंपाजवळ वाळकेश्वर रस्त्यावर 1.05 फूट पाणी साचल्याने वाहतूक मंदावली आहे.
1.05 feet of water logging… https://t.co/8c72vdpeak",1578545050992410626,140,2022-10-08,00:37:22,Twitter Web App,8,2
"सरदार हॉटेल (भोईवाडा) येथे १.०५ फूट पाणी साचले. वाहतूक मंदावली आहे.
1.05 feet of water logging at At Sardar Hotel (… https://t.co/LDwoMxoSJo",1578543253334659074,140,2022-10-08,00:30:14,Twitter Web App,6,1
"अंधेरी सबवे येथे २ फुटापर्यंत पाणी साचल्याने वाहतुकीची गती मंदावली आहे.
 2.0 feet water logging at Andheri subway.… https://t.co/MB1WhZWnJl",1578541780538392576,139,2022-10-08,00:24:23,Twitter Web App,17,2
@medipakkadam दादर वाहतूक विभागाला  कारवाईसाठी कळवण्यात आले आहे.,1578537053515841537,64,2022-10-08,00:05:36,Twitter Web App,14,2
@TVALMGuild We have informed Samta Nagar Traffic Division of the necessary action.,1578429074309251072,82,2022-10-07,16:56:31,Twitter Web App,6,1
@SharpcutM We have informed concern Traffic Division of the necessary action.,1578426699515330560,77,2022-10-07,16:47:05,Twitter Web App,0,0
@arshadq35268923 We have escalated your request to Azad Maidan Traffic Division for necessary action.,1578424902780321792,101,2022-10-07,16:39:57,Twitter Web App,1,0
@nadeem_ghaznavi We have escalated your request with Dahisar Traffic Division for necessary action.,1578410378618634248,99,2022-10-07,15:42:14,Twitter Web App,0,0
@gopigupt We have requested @ThaneCityPolice traffic division to look into this as they can help the best in their jurisdiction,1578407194898595840,127,2022-10-07,15:29:35,Twitter Web App,0,0
@Azamlebbai हमने आपकी शिकायत आगे की कार्रवाई के लिए चेंबूर वाहतूक विभाग को भेज दी है।,1578403701169221632,85,2022-10-07,15:15:42,Twitter Web App,5,0
@NasirSh86042113 We are sharing your concern with the Goregaon Traffic Division for necessary stringent action.,1578401916333137921,111,2022-10-07,15:08:36,Twitter Web App,0,0
@sheroobhai We are sharing your concern with Sahar Traffic Division for necessary stringent action.,1578400429498519552,99,2022-10-07,15:02:42,Twitter Web App,0,1
@Shiva_Nadar1977 We have forwarded your concern to Dharavi Traffic Division for necessary action.,1578398331113336833,97,2022-10-07,14:54:22,Twitter Web App,1,0
@rizwanjanasheen We have escalated your request with Jogeshwari Traffic Division for necessary action.,1578397334232129537,102,2022-10-07,14:50:24,Twitter Web App,1,0
@VK_Andheri We have informed concern Traffic Division of the necessary action.,1578393283478241280,78,2022-10-07,14:34:18,Twitter Web App,0,0
@devi_pai We have escalated your request with Sahar Traffic Division for necessary action,1578392248265232385,89,2022-10-07,14:30:11,Twitter Web App,0,0
@Suthar1Nehansh We request you to file a grievance on the #Mumtrafficapp for a swift resolution,1578391246749413377,95,2022-10-07,14:26:12,Twitter Web App,0,0
@devi_pai We request you that if the address you provided is not sufficient send us the full address,1578390479351128065,100,2022-10-07,14:23:10,Twitter Web App,0,0
@Lijo_Mathai We are sharing your concern with Samtanagar Traffic Division for necessary stringent action,1578389570709700610,104,2022-10-07,14:19:33,Twitter Web App,0,0
@Lijo_Mathai We request you that if the address you provided is not sufficient send us the full address,1578387227029094401,103,2022-10-07,14:10:14,Twitter Web App,3,1
@saurabh123 We have informed concern Traffic Division of the necessary action.,1578386286406082560,78,2022-10-07,14:06:30,Twitter Web App,2,0
@afzalamirshaikh We have forwarded your concern to Samtanagar Traffic Division for necessary action.,1578384529034657794,100,2022-10-07,13:59:31,Twitter Web App,1,0
@HardikS46585437 We are sharing your concern with BKC  Traffic Division for necessary stringent action.,1578383978003767296,103,2022-10-07,13:57:19,Twitter Web App,1,0
@normally_crazy We have escalated your request with Powai Traffic Division for necessary action.,1578380843256455169,96,2022-10-07,13:44:52,Twitter Web App,1,0
@ChiragGopanii We have escalated your request with Bandra Traffic Division for necessary action.,1578380112755535872,96,2022-10-07,13:41:58,Twitter Web App,2,0
@deshmuk01368883 We have intimated your concern to Sahar traffic branch for necessary action.,1578375402804088832,93,2022-10-07,13:23:15,Twitter Web App,0,0
@Marathi___ सदर तक्रार आमच्या निर्दशनास आणून दिल्याबद्दल धन्यवाद. आम्ही आपली तक्रार संबंधित विभागाला कळविली आहे.,1578374375086075905,112,2022-10-07,13:19:10,Twitter Web App,0,0
@yoynwa97 Request you to report the matter at nearest police station where the incident occurred.,1578373784960389120,97,2022-10-07,13:16:49,Twitter Web App,0,0
@Rajkuma49482034 We have forwarded your concern to Samtanagar Traffic Division for necessary action.,1578370414765826050,100,2022-10-07,13:03:26,Twitter Web App,0,0
@Marathi___ सदर तक्रार आमच्या निर्दशनास आणून दिल्याबद्दल धन्यवाद. आम्ही आपली तक्रार संबंधित विभागाला कळविली आहे.,1578369543852167168,112,2022-10-07,12:59:58,Twitter Web App,1,0
@SiddharthBadi2 We have forwarded your concern to BKC Traffic Division for necessary action.,1578368623357616128,92,2022-10-07,12:56:19,Twitter Web App,2,0
@SiddharthBadi2 We have intimated your concern to Bkc traffic branch for necessary action.,1578368468852027393,90,2022-10-07,12:55:42,Twitter Web App,2,0
@Naseem9628 We have intimated your concern to Sahar traffic branch for necessary action.,1578367862393417728,88,2022-10-07,12:53:17,Twitter Web App,0,0
@VK_Andheri We are sharing your concern with D N Nagar Traffic Division for necessary stringent action.,1578367528354840576,103,2022-10-07,12:51:58,Twitter Web App,0,0
@trvishwakarma64 हमने आपकी शिकायत को आवश्यक कार्रवाई के लिए दिंडोशी विभाग को भेज दिया है।,1578366402280710145,89,2022-10-07,12:47:29,Twitter Web App,1,0
@HanmantBhosale6 We have forwarded your concern to BKC Traffic Division for necessary action.,1578364815986524162,93,2022-10-07,12:41:11,Twitter Web App,0,0
@hemant082 हमने आपकी शिकायत को आवश्यक कार्रवाई के लिए जोगेश्वरी विभाग को भेज दिया है।,1578364310224785408,85,2022-10-07,12:39:10,Twitter Web App,1,0
@NikhilCDesai1 We have escalated your request with Matunga Traffic Division for necessary action.,1578363040600559616,97,2022-10-07,12:34:08,Twitter Web App,0,0
@PrathzPimputkar . We have informed concern Traffic Division of the necessary action.,1578362238968397825,85,2022-10-07,12:30:56,Twitter Web App,1,0
@ImmanuelRajanN1 We are sharing your concern with Chembur Traffic Division for necessary stringent action.,1578361399470063616,106,2022-10-07,12:27:36,Twitter Web App,0,0
@MhadkarDs We have informed concern Traffic Division of the necessary action.,1578361034666299392,77,2022-10-07,12:26:09,Twitter Web App,0,0
@Kamlesh38379772 सदर तक्रार आमच्या निर्दशनास आणून दिल्याबद्दल धन्यवाद. आम्ही आपली तक्रार संबंधित विभागाला कळविली आहे.,1578360499909308416,117,2022-10-07,12:24:02,Twitter Web App,0,0
@ANILGALGALIRTI आम्ही आपली तक्रार डी बी मार्ग  विभागाला कळविली आहे.,1578360031573336064,67,2022-10-07,12:22:10,Twitter Web App,4,1
@AsYouWish89 सदर तक्रार आमच्या निर्दशनास आणून दिल्याबद्दल धन्यवाद. आम्ही आपली तक्रार संबंधित विभागाला कळविली आहे.,1578359802925051906,113,2022-10-07,12:21:16,Twitter Web App,0,0
@VIRENINFRA We have intimated your concern to Santacruz traffic branch for necessary action.,1578356403932389378,92,2022-10-07,12:07:45,Twitter Web App,5,0
@d22cf3321f22465 We have intimated your concern to D N nagar traffic branch for necessary action.,1578354717801205761,97,2022-10-07,12:01:03,Twitter Web App,1,0
"अंधेरी भुयारी मार्ग वाहनांच्या वाहतुकीसाठी खुला झाला आहे.

Andheri subway is open for vehicular movement.
#MTPTrafficUpdates",1578353630394347520,124,2022-10-07,11:56:44,Twitter Web App,23,3
@sha13353446 We have forwarded your concern to Santacruz Traffic Division for necessary action.,1578348110719614982,95,2022-10-07,11:34:48,Twitter Web App,0,0
@mallanair We have intimated your concerned traffic branch for necessary action.,1578347050277953536,80,2022-10-07,11:30:35,Twitter Web App,0,0
@123456Tandel We are sharing your concern with D N Nagar Traffic Division for necessary stringent action,1578345964624281601,104,2022-10-07,11:26:16,Twitter Web App,1,0
@123456Tandel We have forwarded your concern to D N Nagar Traffic Division for necessary action,1578345085762428928,95,2022-10-07,11:22:47,Twitter Web App,0,0
@123456Tandel We have escalated your request with D N nagar Traffic Division for necessary action.,1578344611357265920,98,2022-10-07,11:20:54,Twitter Web App,0,0
@superselector5 We have informed concern Traffic Division of the necessary action.,1578343496419016705,82,2022-10-07,11:16:28,Twitter Web App,0,0
@123456Tandel We are sharing your concern with D N Nagar Traffic Division for necessary stringent action.,1578342660141912064,105,2022-10-07,11:13:09,Twitter Web App,0,0
"महालक्ष्मी , पेडर रोड, आरटीआय, विनोली येथे उत्तरेकडे जाणारी वाहनांची वाहतूक गती मंदावली आहेत.
Due to Mahalaxmi  bac… https://t.co/56qdljeoHG",1578339859621908480,140,2022-10-07,11:02:01,Twitter Web App,12,5
@AlimShaikhAimim We are sharing your concern with Tardev Traffic Division for necessary stringent action.,1578334986687561728,105,2022-10-07,10:42:39,Twitter Web App,1,1
@superselector5 We have intimated your concern to Vakola  traffic branch for necessary action.,1578333657458057216,94,2022-10-07,10:37:22,Twitter Web App,0,0
@RomilShukla We request you that if the address you provided is not sufficient send us the full address.,1578333101255979008,104,2022-10-07,10:35:10,Twitter Web App,0,0
"अंधेरी मार्केटमध्ये पाणी साचल्याने भुयारी मार्ग बंद आहे त्यामुळे वाहतूक गोखले रोडने वळवली आहे.
#MTPTrafficUpdates… https://t.co/0BPkwnJPZp",1578332701467512832,138,2022-10-07,10:33:34,Twitter Web App,10,5
@superselector5 We have intimated your concern to Jogeshwari traffic branch for necessary action.,1578330737400377345,97,2022-10-07,10:25:46,Twitter Web App,0,0
@casuchitshah We request you to file a grievance on the #Mumtrafficapp for a swift resolution.,1578330687224287232,94,2022-10-07,10:25:34,Twitter Web App,6,1
@MOHDJAV62572544 We request you to file a grievance on the Mumtrafficapp for a swift resolution.,1578330180279422977,96,2022-10-07,10:23:33,Twitter Web App,0,0
@MOHDJAV62572544 We request you to file a grievance on the #Mumtrafficapp for a swift resolution,1578329833452761088,96,2022-10-07,10:22:10,Twitter Web App,0,0
@yjaisingh554 We have forwarded your concern to Chembur Traffic Division for necessary action.,1578329707908505601,94,2022-10-07,10:21:40,Twitter Web App,0,1
@MohdYusufSHAMS5 We have escalated your request with kurla Traffic Division for necessary action.,1578323020263092226,97,2022-10-07,09:55:06,Twitter Web App,0,0
@bhavinmehtak We request you that if the address you provided is not sufficient send us the full address,1578319553670807553,104,2022-10-07,09:41:20,Twitter Web App,0,0
@puranik_shetty We request you to file a grievance on the #Mumtrafficapp for a swift resolution.,1578318580810403840,96,2022-10-07,09:37:28,Twitter Web App,0,0
@rolster20 We are sharing your concern with Mahim Traffic Division for necessary stringent action.,1578316138181984256,98,2022-10-07,09:27:45,Twitter Web App,0,0
@BetterMumbai2 We have escalated your request with Borivali Traffic Division for necessary action.,1578314005298675712,98,2022-10-07,09:19:17,Twitter Web App,0,0
@samir_mmn96 We have forwarded your concern to Bandra Traffic Division for necessary action.,1578313344460943360,92,2022-10-07,09:16:39,Twitter Web App,0,0
@aapaldadar We have forwarded your concern to Dadar Traffic Division for necessary action.,1578311756438700032,90,2022-10-07,09:10:21,Twitter Web App,1,1
@aapaldadar Please provide the exact location for necessary action,1578309335574523905,66,2022-10-07,09:00:43,Twitter Web App,1,1
@MaldeNimish We have intimated your concern to Wadala traffic branch for necessary action.,1578307493532688384,90,2022-10-07,08:53:24,Twitter Web App,0,0
@nagarkaustubh We request you to file a grievance on the #Mumtrafficapp for a swift resolution.,1578302925935640577,95,2022-10-07,08:35:15,Twitter Web App,0,0
@mnblkjpoivcxz We have forwarded your concern to Chembur Traffic Division for necessary action.,1578296062175236096,95,2022-10-07,08:07:59,Twitter Web App,2,0
@Umeroxx Please provide the exact location for necessary action,1578293544347144193,63,2022-10-07,07:57:58,Twitter Web App,0,0
@aapaldadar We are sharing your concern with Dadar Traffic Division for necessary stringent action,1578292638067068928,98,2022-10-07,07:54:22,Twitter Web App,0,0
@tweetsvirat We have forwarded your concern to Dahisar Traffic Division for necessary action.,1578289104319836161,93,2022-10-07,07:40:20,Twitter Web App,9,0
@aapaldadar We request you that if the address you provided is not sufficient send us the full address,1578285374648233984,102,2022-10-07,07:25:31,Twitter Web App,0,0
@shahkaran79 We are sharing your concern with Tardeo Traffic Division for necessary stringent action.,1578284422163759105,101,2022-10-07,07:21:44,Twitter Web App,0,0
@Jigneshbari95 We are sharing your concern with Dahisar Traffic Division for necessary stringent action.,1578281117559685120,104,2022-10-07,07:08:36,Twitter Web App,0,1
@MumbaiManic We have informed concern Traffic Division of the necessary action.,1578280595352059904,79,2022-10-07,07:06:31,Twitter Web App,0,0
